State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10,Latitude,Longitude
Alabama,DeKalb,2021,58,58,0,0,0,0,0,49,42,32,0,0,58,0,0,0,34.289001,-85.970065
Alabama,Jefferson,2021,60,33,27,0,0,0,0,93,64,50,1,1,2,0,55,1,33.565278,-86.796389
Alaska,Denali ,2021,59,59,0,0,0,0,0,43,41,39,0,0,59,0,0,0,63.7232,-148.9676
Arizona,Apache,2021,87,87,0,0,0,0,0,25,19,11,0,0,0,0,1,86,34.058475,-109.441259
Arizona,Cochise,2021,90,77,12,1,0,0,0,104,54,41,0,0,48,0,0,42,32.00941,-109.38906
Arizona,Coconino,2021,89,87,2,0,0,0,0,51,45,41,0,0,89,0,0,0,35.225136,-111.607603
Arizona,Gila,2021,90,76,14,0,0,0,0,80,58,44,0,0,77,8,0,5,33.419017,-110.82967
Arizona,La Paz,2021,90,85,5,0,0,0,0,61,49,42,0,0,90,0,0,0,34.2439,-113.5586
Arizona,Maricopa,2021,120,6,22,21,33,38,0,272,217,166,0,1,95,0,8,16,33.503833,-112.095767
Arizona,Mohave,2021,90,90,0,0,0,0,0,46,22,12,0,0,0,0,0,90,36.019302,-114.069205
Arizona,Navajo,2021,90,90,0,0,0,0,0,45,43,35,0,0,59,0,0,31,33.85815,-109.97029
Arizona,Pima,2021,90,57,28,5,0,0,0,128,72,45,0,0,0,0,0,90,32.248712,-111.218494
Arizona,Pinal,2021,120,84,36,0,0,0,0,90,67,47,0,0,109,0,0,11,33.293465,-111.285594
Arizona,Santa Cruz,2021,90,47,42,0,1,0,0,166,76,47,0,0,0,0,63,27,31.33745,-110.93715
Arizona,Yavapai,2021,57,50,7,0,0,0,0,64,51,44,0,0,57,0,0,0,34.340556,-111.683923
Arizona,Yuma,2021,90,74,16,0,0,0,0,94,58,44,0,0,61,0,8,21,32.690278,-114.61444
Arkansas,Arkansas,2021,30,28,2,0,0,0,0,56,44,28,0,0,0,0,30,0,34.518515,-91.55896
Arkansas,Ashley,2021,28,27,1,0,0,0,0,51,43,30,0,0,0,0,28,0,33.139471,-91.939208
Arkansas,Clark,2021,58,57,1,0,0,0,0,54,37,30,0,0,58,0,0,0,34.1795,-93.0988
Arkansas,Crittenden,2021,90,80,10,0,0,0,0,62,52,33,0,5,46,0,39,0,35.197288,-90.193141
Arkansas,Garland,2021,29,26,3,0,0,0,0,52,51,27,0,0,0,0,29,0,34.469441,-93.000178
Arkansas,Jackson,2021,28,26,2,0,0,0,0,56,47,28,0,0,0,0,28,0,35.637283,-91.188906
Arkansas,Newton,2021,90,89,1,0,0,0,0,51,46,34,0,0,90,0,0,0,35.825893,-93.203187
Arkansas,Polk,2021,90,86,4,0,0,0,0,64,47,36,0,0,81,0,9,0,34.454514,-94.143521
Arkansas,Pulaski,2021,91,67,24,0,0,0,0,100,56,40,1,6,23,0,61,0,34.681343,-92.328697
Arkansas,Union,2021,25,22,3,0,0,0,0,54,51,32,0,0,0,0,25,0,33.220563,-92.672263
Arkansas,Washington,2021,90,80,10,0,0,0,0,81,51,36,0,0,62,0,28,0,36.011703,-94.167436
California,Colusa,2021,108,108,0,0,0,0,0,47,29,13,0,0,0,0,108,0,39.18919,-121.99887
California,Fresno,2021,59,39,19,0,0,1,0,278,71,37,0,0,34,0,22,3,37.22064,-119.155557
California,Imperial,2021,34,32,2,0,0,0,0,53,45,31,0,0,0,0,34,0,33.213611,-115.54528
California,Inyo,2021,120,120,0,0,0,0,0,48,42,29,0,0,56,0,30,34,37.155494,-118.293547
California,Kern,2021,32,8,13,10,1,0,0,152,143,92,0,0,0,0,30,2,34.821922,-118.887598
California,Kings,2021,120,103,17,0,0,0,0,77,53,35,0,0,69,0,0,51,36.31567,-119.643447
California,Mariposa,2021,59,58,1,0,0,0,0,67,44,40,0,0,59,0,0,0,37.748707,-119.587094
California,Merced,2021,2,2,0,0,0,0,0,18,18,18,0,0,0,0,0,2,37.30832,-120.480456
California,Monterey,2021,91,89,2,0,0,0,0,67,44,37,1,0,78,0,11,1,36.694261,-121.623271
California,Nevada,2021,120,112,8,0,0,0,0,62,48,38,0,0,64,0,56,0,39.32783,-120.184592
California,Plumas,2021,120,26,76,18,0,0,0,133,115,65,0,0,0,0,120,0,39.81336,-120.47069
California,Riverside,2021,90,65,22,1,2,0,0,196,68,43,0,0,65,0,5,20,33.61235,-114.60209
California,Sacramento,2021,32,15,17,0,0,0,0,92,80,53,1,0,6,0,25,0,38.494475,-121.211131
California,San Benito,2021,90,89,1,0,0,0,0,61,43,37,0,0,88,0,1,1,36.48324,-121.15688
California,San Bernardino,2021,58,55,3,0,0,0,0,51,46,40,0,0,58,0,0,0,34.193925,-116.914063
California,Santa Barbara,2021,32,29,3,0,0,0,0,53,49,39,1,0,16,0,14,1,34.733889,-120.008349
California,Santa Cruz,2021,90,81,9,0,0,0,0,73,53,36,0,0,65,0,25,0,37.06315,-122.083092
California,Shasta,2021,59,57,2,0,0,0,0,54,45,39,0,0,59,0,0,0,40.53999,-121.57646
California,Solano,2021,3,3,0,0,0,0,0,10,10,5,0,0,0,0,0,3,38.35655,-121.94986
California,Stanislaus,2021,2,2,0,0,0,0,0,22,22,22,0,0,0,0,0,2,37.488317,-120.836008
California,Tehama,2021,2,2,0,0,0,0,0,4,4,4,0,0,0,0,0,2,40.17093,-122.25556
California,Tulare,2021,59,59,0,0,0,0,0,48,44,33,0,0,59,0,0,0,36.031831,-119.055018
California,Ventura,2021,90,77,12,1,0,0,0,117,54,42,0,0,76,0,10,4,34.25239,-119.143182
California,Yolo,2021,6,6,0,0,0,0,0,21,21,6,0,0,0,0,0,6,38.57146,-121.52579
Colorado,Adams,2021,89,79,10,0,0,0,0,73,52,37,2,32,25,0,3,27,39.838119,-104.94984
Colorado,Arapahoe,2021,54,50,4,0,0,0,0,86,44,35,0,0,28,0,26,0,39.638522,-104.569335
Colorado,Archuleta,2021,54,53,1,0,0,0,0,51,42,35,0,0,30,0,0,24,37.205862,-107.254118
Colorado,Boulder,2021,54,48,5,1,0,0,0,116,55,33,0,0,27,0,25,2,40.012969,-105.267212
Colorado,Clear Creek,2021,54,51,3,0,0,0,0,54,48,45,0,0,54,0,0,0,39.794391,-105.76398
Colorado,Denver,2021,99,67,31,1,0,0,0,109,69,43,0,36,4,0,56,3,39.7861,-104.9886
Colorado,Douglas,2021,53,50,3,0,0,0,0,69,43,30,0,0,27,0,26,0,39.534488,-105.070358
Colorado,El Paso,2021,61,61,0,0,0,0,0,46,44,39,0,0,59,0,0,2,38.848014,-104.828564
Colorado,Fremont,2021,5,5,0,0,0,0,0,19,19,9,0,0,0,0,0,5,38.43829,-105.24504
Colorado,Garfield,2021,90,90,0,0,0,0,0,49,43,36,0,0,90,0,0,0,39.53068,-107.78225
Colorado,Gilpin,2021,31,31,0,0,0,0,0,46,44,42,0,0,31,0,0,0,39.792519,-105.49127
Colorado,Gunnison,2021,59,59,0,0,0,0,0,50,46,44,0,0,59,0,0,0,38.9564,-106.9858
Colorado,Jefferson,2021,59,59,0,0,0,0,0,46,44,41,0,4,55,0,0,0,39.620408,-105.33872
Colorado,La Plata,2021,59,59,0,0,0,0,0,49,45,41,0,2,57,0,0,0,37.10258,-107.870219
Colorado,Larimer,2021,59,58,1,0,0,0,0,61,49,45,0,0,59,0,0,0,40.57747,-105.07892
Colorado,Mesa,2021,93,93,0,0,0,0,0,49,44,38,0,0,88,0,0,5,39.130575,-108.313835
Colorado,Montezuma,2021,90,89,1,0,0,0,0,51,44,42,0,0,90,0,0,0,37.20006,-108.7331
Colorado,Pitkin,2021,8,8,0,0,0,0,0,9,9,8,0,0,0,0,0,8,39.19296,-106.82323
Colorado,Prowers,2021,58,56,0,1,0,0,1,576,34,14,0,0,0,0,0,58,38.084688,-102.618641
Colorado,Pueblo,2021,25,25,0,0,0,0,0,49,40,16,0,0,0,0,20,5,38.276099,-104.597613
Colorado,Rio Blanco,2021,59,56,3,0,0,0,0,53,43,39,0,0,50,0,9,0,39.9153,-107.6345
Colorado,Routt,2021,52,51,1,0,0,0,0,51,32,14,0,0,0,0,0,52,40.485201,-106.831625
Colorado,San Miguel,2021,21,20,1,0,0,0,0,51,24,6,0,0,0,0,0,21,37.937872,-107.813061
Colorado,Weld,2021,69,66,2,0,1,0,0,160,43,31,1,9,44,0,15,0,40.181625,-104.72613
Connecticut,Windham,2021,58,58,0,0,0,0,0,43,40,33,0,0,58,0,0,0,41.84046,-72.010368
Country Of Mexico,BAJA CALIFORNIA NORTE,2021,90,18,44,16,12,0,0,166,153,80,0,0,0,0,90,0,32.633671,-115.504995
Florida,Indian River,2021,57,55,2,0,0,0,0,71,47,38,0,0,57,0,0,0,27.8492,-80.4554
Florida,Liberty,2021,58,58,0,0,0,0,0,44,42,31,0,0,58,0,0,0,30.1103,-84.9903
Georgia,Bibb,2021,59,51,8,0,0,0,0,78,62,29,0,0,0,0,59,0,32.805264,-83.543493
Georgia,Chatham,2021,59,49,10,0,0,0,0,70,55,35,0,0,0,7,52,0,32.090779,-81.130222
Georgia,Clarke,2021,59,45,14,0,0,0,0,68,58,34,0,0,0,0,59,0,33.918137,-83.344385
Georgia,Clayton,2021,11,11,0,0,0,0,0,49,45,30,0,0,0,0,11,0,33.610845,-84.390717
Georgia,Cobb,2021,11,8,3,0,0,0,0,56,54,36,0,0,0,0,11,0,34.015436,-84.607423
Georgia,Coffee,2021,11,11,0,0,0,0,0,41,39,26,0,0,0,0,11,0,31.513097,-82.749971
Georgia,DeKalb,2021,90,77,13,0,0,0,0,66,53,36,0,43,6,0,41,0,33.698643,-84.272614
Georgia,Dougherty,2021,59,46,13,0,0,0,0,92,70,35,0,0,0,0,59,0,31.5776,-84.0998
Georgia,Floyd,2021,59,56,3,0,0,0,0,73,46,22,0,0,0,0,59,0,34.2434,-85.3259
Georgia,Fulton,2021,90,76,14,0,0,0,0,68,54,36,0,38,0,0,52,0,33.7784,-84.3914
Georgia,Glynn,2021,10,9,1,0,0,0,0,58,58,31,0,0,0,0,10,0,31.169805,-81.495035
Georgia,Gwinnett,2021,27,22,5,0,0,0,0,57,53,32,0,0,0,0,27,0,33.9632,-84.0691
Georgia,Hall,2021,59,53,6,0,0,0,0,55,51,30,0,0,0,0,59,0,34.2993,-83.8134
Georgia,Henry,2021,58,55,3,0,0,0,0,60,40,19,0,0,0,0,58,0,33.433949,-84.161811
Georgia,Houston,2021,59,46,13,0,0,0,0,81,63,35,0,0,0,0,59,0,32.6056,-83.5978
Georgia,Lowndes,2021,59,48,11,0,0,0,0,84,60,31,0,0,0,0,59,0,30.8486,-83.2933
Georgia,Muscogee,2021,120,105,15,0,0,0,0,73,51,34,0,0,61,0,59,0,32.539571,-84.844732
Georgia,Pike,2021,58,56,2,0,0,0,0,54,43,34,0,0,58,0,0,0,33.1787,-84.4052
Georgia,Richmond,2021,59,39,18,2,0,0,0,145,70,41,0,0,0,2,57,0,33.4339,-82.0224
Georgia,Rockdale,2021,61,54,7,0,0,0,0,80,58,43,0,0,61,0,0,0,33.588545,-84.069608
Georgia,Sumter,2021,61,53,8,0,0,0,0,74,51,42,0,0,61,0,0,0,31.954286,-84.08101
Georgia,Washington,2021,59,49,10,0,0,0,0,83,55,32,0,0,0,0,59,0,32.967359,-82.806871
Hawaii,Hawaii,2021,59,45,9,4,1,0,0,178,92,8,0,0,0,20,39,0,19.555444,-155.102028
Idaho,Butte,2021,59,59,0,0,0,0,0,48,44,38,0,0,59,0,0,0,43.460556,-113.562222
Idaho,Idaho,2021,90,76,14,0,0,0,0,79,55,34,0,0,20,0,70,0,46.2756,-116.0216
Idaho,Nez Perce,2021,90,86,4,0,0,0,0,61,35,15,0,0,0,0,90,0,46.3972,-116.8062
Illinois,Adams,2021,31,30,1,0,0,0,0,58,49,40,0,0,31,0,0,0,39.915409,-91.335868
Illinois,Champaign,2021,90,73,17,0,0,0,0,78,58,37,0,0,38,0,52,0,40.05278,-88.37251
Illinois,Clark,2021,90,88,2,0,0,0,0,58,44,32,0,0,90,0,0,0,39.210857,-87.668297
Illinois,Cook,2021,92,34,58,0,0,0,0,100,70,54,0,10,8,0,71,3,42.062053,-87.675254
Illinois,DuPage,2021,90,55,35,0,0,0,0,94,62,46,0,0,13,0,77,0,41.813049,-88.072827
Illinois,Effingham,2021,31,30,1,0,0,0,0,54,44,38,0,0,31,0,0,0,39.067159,-88.548934
Illinois,Hamilton,2021,90,75,15,0,0,0,0,68,55,37,0,0,28,0,62,0,38.082155,-88.624943
Illinois,Jersey,2021,87,79,8,0,0,0,0,66,50,37,0,0,24,0,63,0,39.101439,-90.344494
Illinois,Jo Daviess,2021,59,58,1,0,0,0,0,54,44,32,0,0,59,0,0,0,42.2869,-89.9997
Illinois,Kane,2021,52,38,14,0,0,0,0,64,58,39,0,0,25,0,27,0,41.784717,-88.329374
Illinois,La Salle,2021,84,84,0,0,0,0,0,7,3,1,0,0,0,84,0,0,41.293015,-89.049425
Illinois,Lake,2021,31,30,1,0,0,0,0,61,46,41,0,0,31,0,0,0,42.467573,-87.810047
Illinois,Macon,2021,90,72,18,0,0,0,0,75,58,39,0,0,19,1,70,0,39.846856,-88.923323
Illinois,Macoupin,2021,90,90,0,0,0,0,0,49,43,6,0,59,31,0,0,0,39.396075,-89.809739
Illinois,Madison,2021,90,51,39,0,0,0,0,75,66,48,0,0,17,0,73,0,38.869001,-89.622816
Illinois,McHenry,2021,88,70,18,0,0,0,0,80,56,39,0,0,16,0,72,0,42.221442,-88.242207
Illinois,McLean,2021,90,66,24,0,0,0,0,71,58,40,0,0,13,0,77,0,40.518735,-88.996896
Illinois,Monroe,2021,90,90,0,0,0,0,0,29,10,3,0,0,0,90,0,0,38.15908,-90.22728
Illinois,Peoria,2021,86,63,23,0,0,0,0,72,58,39,0,0,15,0,71,0,40.745504,-89.585869
Illinois,Randolph,2021,90,76,14,0,0,0,0,66,54,37,0,0,27,0,63,0,38.176278,-89.788459
Illinois,Rock Island,2021,86,68,18,0,0,0,0,78,59,38,0,0,14,0,72,0,41.514727,-90.51735
Illinois,Saint Clair,2021,90,69,21,0,0,0,0,65,55,42,0,3,12,0,75,0,38.612034,-90.160477
Illinois,Sangamon,2021,89,74,15,0,0,0,0,64,55,34,0,0,18,0,71,0,39.831522,-89.640926
Illinois,Tazewell,2021,86,86,0,0,0,0,0,19,6,1,0,0,0,86,0,0,40.55646,-89.654028
Illinois,Wabash,2021,90,90,0,0,0,0,0,24,4,1,0,0,0,90,0,0,38.397789,-87.773853
Illinois,Will,2021,90,52,38,0,0,0,0,84,62,46,0,0,13,0,77,0,41.221537,-88.190967
Illinois,Winnebago,2021,86,54,32,0,0,0,0,95,70,45,0,0,17,0,69,0,42.334982,-89.037775
Indiana,Allen,2021,90,77,13,0,0,0,0,75,53,36,0,0,62,0,28,0,41.094965,-85.101816
Indiana,Bartholomew,2021,120,106,14,0,0,0,0,74,54,38,0,0,89,0,31,0,39.237457,-85.891332
Indiana,Boone,2021,90,90,0,0,0,0,0,44,39,30,0,0,90,0,0,0,39.997732,-86.395394
Indiana,Brown,2021,120,113,7,0,0,0,0,77,49,35,0,0,120,0,0,0,39.263914,-86.292269
Indiana,Carroll,2021,120,116,4,0,0,0,0,64,45,34,0,0,120,0,0,0,40.540455,-86.553035
Indiana,Clark,2021,90,65,25,0,0,0,0,88,67,42,0,0,36,0,54,0,38.288191,-85.741337
Indiana,Delaware,2021,117,105,12,0,0,0,0,84,51,37,0,0,101,0,16,0,40.300385,-85.245862
Indiana,Dubois,2021,31,23,8,0,0,0,0,83,60,35,0,0,0,0,30,1,38.391799,-86.929668
Indiana,Elkhart,2021,90,76,14,0,0,0,0,84,54,35,0,0,66,0,24,0,41.657155,-85.968446
Indiana,Floyd,2021,90,90,0,0,0,0,0,49,42,31,0,0,88,2,0,0,38.30703,-85.832974
Indiana,Gibson,2021,90,89,1,0,0,0,0,51,16,1,0,0,0,90,0,0,38.392991,-87.748323
Indiana,Greene,2021,88,81,7,0,0,0,0,72,48,33,0,0,76,0,12,0,38.985477,-86.990419
Indiana,Hamilton,2021,90,74,16,0,0,0,0,74,58,38,0,0,45,0,45,0,39.928804,-86.078775
Indiana,Hendricks,2021,120,117,3,0,0,0,0,64,44,32,0,0,120,0,0,0,39.758707,-86.3985
Indiana,Henry,2021,28,23,5,0,0,0,0,76,60,33,0,0,0,0,28,0,40.009544,-85.52347
Indiana,Howard,2021,90,73,17,0,0,0,0,78,54,39,0,0,51,0,39,0,40.481347,-86.109688
Indiana,Knox,2021,59,59,0,0,0,0,0,50,42,30,0,0,59,0,0,0,38.7408,-87.4853
Indiana,LaPorte,2021,90,80,10,0,0,0,0,72,51,35,0,0,77,0,13,0,41.707212,-86.891216
Indiana,Lake,2021,90,46,42,2,0,0,0,104,71,49,0,0,25,4,61,0,41.639306,-87.493609
Indiana,Madison,2021,120,92,28,0,0,0,0,86,60,41,0,0,71,0,49,0,40.125703,-85.652184
Indiana,Marion,2021,120,75,45,0,0,0,0,98,70,45,0,2,56,0,62,0,39.787933,-86.13088
Indiana,Monroe,2021,65,53,12,0,0,0,0,75,60,31,0,0,0,0,65,0,39.159383,-86.504762
Indiana,Perry,2021,90,88,2,0,0,0,0,58,45,31,0,0,90,0,0,0,38.115152,-86.60325
Indiana,Porter,2021,90,77,13,0,0,0,0,83,60,38,0,0,50,10,30,0,41.635404,-87.150567
Indiana,Posey,2021,90,90,0,0,0,0,0,46,40,28,0,0,90,0,0,0,38.00641,-87.718354
Indiana,Shelby,2021,120,119,1,0,0,0,0,61,44,32,0,0,120,0,0,0,39.613367,-85.870669
Indiana,Spencer,2021,30,22,8,0,0,0,0,82,66,30,0,0,0,0,30,0,38.167523,-86.983214
Indiana,St. Joseph,2021,90,61,29,0,0,0,0,99,64,42,0,1,43,0,46,0,41.754722,-86.11
Indiana,Tippecanoe,2021,59,40,19,0,0,0,0,82,69,44,0,0,0,0,59,0,40.431639,-86.8525
Indiana,Vanderburgh,2021,90,72,18,0,0,0,0,89,60,41,0,0,43,0,47,0,37.97768,-87.596836
Indiana,Vigo,2021,90,76,14,0,0,0,0,74,60,38,0,0,49,0,41,0,39.507688,-87.37444
Indiana,Wabash,2021,59,58,1,0,0,0,0,61,44,31,0,0,59,0,0,0,40.816038,-85.661408
Indiana,Warrick,2021,90,90,0,0,0,0,0,49,44,31,0,0,88,2,0,0,37.954444,-87.321667
Indiana,Whitley,2021,67,48,19,0,0,0,0,79,60,37,0,0,0,0,67,0,41.169646,-85.629292
Iowa,Black Hawk,2021,120,82,38,0,0,0,0,90,66,41,0,0,0,0,120,0,42.501543,-92.316017
Iowa,Bremer,2021,60,57,3,0,0,0,0,77,46,37,0,0,60,0,0,0,42.743036,-92.513241
Iowa,Cerro Gordo,2021,30,30,0,0,0,0,0,31,24,16,0,0,0,0,0,30,43.16944,-93.202426
Iowa,Clinton,2021,120,58,60,2,0,0,0,112,70,51,0,0,24,0,96,0,41.874999,-90.177574
Iowa,Harrison,2021,61,58,3,0,0,0,0,64,47,39,0,0,61,0,0,0,41.832256,-95.928185
Iowa,Johnson,2021,109,59,49,1,0,0,0,107,69,47,0,0,0,0,109,0,41.657232,-91.503478
Iowa,Lee,2021,23,16,7,0,0,0,0,69,60,33,0,0,0,0,23,0,40.400959,-91.391012
Iowa,Linn,2021,120,66,51,3,0,0,0,123,67,47,0,0,26,1,93,0,41.948708,-91.639535
Iowa,Montgomery,2021,120,100,20,0,0,0,0,81,61,37,0,0,42,0,78,0,40.969112,-95.044951
Iowa,Muscatine,2021,120,82,38,0,0,0,0,88,64,41,0,0,0,0,120,0,41.4069,-91.0616
Iowa,Palo Alto,2021,120,90,30,0,0,0,0,80,61,39,0,0,38,0,82,0,43.123704,-94.693518
Iowa,Polk,2021,120,93,27,0,0,0,0,82,66,39,0,5,38,0,77,0,41.603517,-93.7479
Iowa,Pottawattamie,2021,31,21,10,0,0,0,0,76,65,35,0,0,0,0,31,0,41.25425,-95.887249
Iowa,Scott,2021,121,66,55,0,0,0,0,98,66,50,1,0,35,0,72,13,41.512077,-90.624044
Iowa,Van Buren,2021,118,94,24,0,0,0,0,81,58,39,0,0,47,0,71,0,40.695078,-92.006318
Iowa,Woodbury,2021,30,21,9,0,0,0,0,79,72,37,0,0,0,0,30,0,42.499844,-96.394755
Kentucky,Edmonson,2021,60,60,0,0,0,0,0,46,40,30,3,0,57,0,0,0,37.13179,-86.142953
Kentucky,Morgan,2021,54,54,0,0,0,0,0,50,38,31,0,0,54,0,0,0,37.9214,-83.0662
Kentucky,Trigg,2021,59,58,1,0,0,0,0,58,43,31,0,0,59,0,0,0,36.7841,-87.8499
Kentucky,Washington,2021,58,58,0,0,0,0,0,48,41,32,0,0,58,0,0,0,37.7046,-85.0485
Louisiana,Ascension,2021,90,90,0,0,0,0,0,44,42,30,0,3,87,0,0,0,30.229653,-90.965628
Louisiana,Bossier,2021,90,84,6,0,0,0,0,62,50,38,0,0,48,0,38,4,32.535293,-93.747041
Louisiana,Caddo,2021,89,87,2,0,0,0,0,64,44,34,0,0,89,0,0,0,32.471819,-93.795179
Louisiana,Calcasieu,2021,90,71,19,0,0,0,0,74,54,42,0,0,37,1,52,0,30.103724,-93.285598
Louisiana,East Baton Rouge,2021,91,84,7,0,0,0,0,62,50,35,1,2,56,0,32,0,30.577617,-91.235323
Louisiana,Iberville,2021,90,87,3,0,0,0,0,61,48,36,0,0,90,0,0,0,30.204218,-91.126041
Louisiana,Jefferson,2021,90,88,2,0,0,0,0,59,44,33,0,1,78,0,11,0,29.900314,-90.109836
Louisiana,Lafayette,2021,90,76,14,0,0,0,0,80,52,39,0,0,54,0,35,1,30.22611,-92.042908
Louisiana,Lafourche,2021,90,85,5,0,0,0,0,55,47,37,0,0,52,0,38,0,29.764098,-90.765275
Louisiana,Livingston,2021,85,80,5,0,0,0,0,64,47,37,0,5,51,0,29,0,30.315406,-90.811383
Louisiana,Orleans,2021,91,89,2,0,0,0,0,60,36,23,1,31,0,0,49,10,30.108633,-89.761683
Louisiana,Ouachita,2021,72,72,0,0,0,0,0,50,44,31,0,0,72,0,0,0,32.509959,-92.046196
Louisiana,Pointe Coupee,2021,90,89,1,0,0,0,0,54,44,31,0,0,90,0,0,0,30.681718,-91.366247
Louisiana,St. Bernard,2021,90,80,9,1,0,0,0,106,52,40,0,0,50,5,34,1,29.943164,-89.97625
Louisiana,St. Charles,2021,90,90,0,0,0,0,0,50,31,3,0,0,0,90,0,0,29.997366,-90.411185
Louisiana,St. James,2021,87,87,0,0,0,0,0,44,37,27,0,0,87,0,0,0,30.052341,-90.670833
Louisiana,St. John the Baptist,2021,87,87,0,0,0,0,0,49,42,31,0,0,87,0,0,0,30.07783,-90.532944
Louisiana,St. Martin,2021,89,89,0,0,0,0,0,50,44,34,0,0,89,0,0,0,30.088872,-91.869595
Louisiana,St. Tammany,2021,86,82,4,0,0,0,0,62,42,32,0,0,66,0,20,0,30.429381,-90.199678
Louisiana,West Baton Rouge,2021,90,90,0,0,0,0,0,49,41,31,0,6,83,1,0,0,30.327723,-91.284108
Maine,Androscoggin,2021,110,105,5,0,0,0,0,54,46,34,0,0,59,0,51,0,43.974622,-70.124608
Maine,Aroostook,2021,90,80,9,1,0,0,0,104,51,34,0,0,41,0,33,16,46.6041,-68.4135
Maine,Cumberland,2021,121,116,5,0,0,0,0,67,44,38,1,5,108,0,7,0,43.832458,-70.063815
Maine,Hancock,2021,121,115,6,0,0,0,0,90,47,39,1,0,119,0,1,0,44.37705,-68.2609
Maine,Kennebec,2021,61,60,1,0,0,0,0,51,44,38,0,0,61,0,0,0,44.230622,-69.785
Maine,Knox,2021,56,52,4,0,0,0,0,80,48,41,0,0,56,0,0,0,43.917955,-69.26059
Maine,Oxford,2021,120,114,6,0,0,0,0,61,45,37,0,0,73,0,47,0,44.377794,-70.854697
Maine,Penobscot,2021,120,111,9,0,0,0,0,71,49,38,0,0,67,0,53,0,44.94798,-68.64788
Maine,Washington,2021,119,115,4,0,0,0,0,84,44,37,0,0,119,0,0,0,45.125837,-67.265408
Maine,York,2021,78,73,5,0,0,0,0,71,48,41,0,0,78,0,0,0,43.343167,-70.471034
Maryland,Anne Arundel,2021,89,87,2,0,0,0,0,67,44,4,0,0,31,58,0,0,39.158911,-76.511025
Maryland,Baltimore,2021,85,69,16,0,0,0,0,68,59,38,0,0,28,0,57,0,39.310833,-76.474444
Maryland,Baltimore (City),2021,88,74,14,0,0,0,0,70,60,27,0,0,0,0,88,0,39.328807,-76.553075
Maryland,Cecil,2021,90,74,16,0,0,0,0,80,60,37,0,0,26,0,64,0,39.702982,-75.864771
Maryland,Dorchester,2021,90,81,9,0,0,0,0,71,51,37,0,0,69,0,21,0,38.444971,-76.111274
Maryland,Garrett,2021,91,86,5,0,0,0,0,67,47,37,1,0,78,0,12,0,39.70595,-79.012
Maryland,Harford,2021,90,74,16,0,0,0,0,84,62,38,0,0,29,0,61,0,39.563333,-76.203889
Maryland,Howard,2021,88,74,14,0,0,0,0,63,54,24,0,0,0,0,88,0,39.14313,-76.84611
Maryland,Kent,2021,86,80,6,0,0,0,0,62,43,19,0,0,0,0,86,0,39.305021,-75.797317
Maryland,Montgomery,2021,90,73,17,0,0,0,0,71,58,39,0,0,28,0,62,0,39.114313,-77.106876
Maryland,Prince George's,2021,90,76,14,0,0,0,0,67,54,38,0,0,66,0,24,0,39.0284,-76.8171
Maryland,Washington,2021,90,66,24,0,0,0,0,75,63,40,0,0,27,0,63,0,39.564178,-77.720244
Massachusetts,Barnstable,2021,31,31,0,0,0,0,0,38,37,33,0,0,31,0,0,0,41.975804,-70.023598
Massachusetts,Berkshire,2021,47,40,7,0,0,0,0,77,54,31,0,0,15,0,32,0,42.702223,-73.110414
Massachusetts,Bristol,2021,31,28,3,0,0,0,0,76,50,32,0,0,22,0,9,0,41.645381,-70.897504
Massachusetts,Dukes,2021,31,31,0,0,0,0,0,39,35,32,0,0,31,0,0,0,41.330469,-70.785225
Massachusetts,Essex,2021,31,28,3,0,0,0,0,78,48,32,0,0,20,0,11,0,42.770837,-71.10229
Massachusetts,Franklin,2021,47,36,11,0,0,0,0,86,56,35,0,0,10,0,37,0,42.605816,-72.596689
Massachusetts,Hampden,2021,37,29,8,0,0,0,0,88,67,36,0,1,13,0,23,0,42.120229,-72.584503
Massachusetts,Hampshire,2021,37,35,2,0,0,0,0,69,42,32,0,0,24,0,7,6,42.298493,-72.334079
Massachusetts,Middlesex,2021,31,28,3,0,0,0,0,75,41,33,0,1,20,0,10,0,42.612085,-71.306986
Massachusetts,Norfolk,2021,31,27,4,0,0,0,0,87,51,31,0,0,17,0,14,0,42.211774,-71.11397
Massachusetts,Plymouth,2021,31,26,5,0,0,0,0,69,53,31,0,0,19,0,12,0,42.065106,-71.012129
Massachusetts,Suffolk,2021,50,43,7,0,0,0,0,83,56,33,1,5,8,0,36,0,42.325186,-71.056061
Massachusetts,Worcester,2021,39,34,5,0,0,0,0,87,55,35,0,0,12,0,19,8,42.099699,-71.619399
Michigan,Allegan,2021,86,74,12,0,0,0,0,64,52,26,0,0,0,0,86,0,42.767786,-86.148577
Michigan,Bay,2021,90,77,13,0,0,0,0,72,56,23,0,0,0,0,90,0,43.571391,-83.890721
Michigan,Cass,2021,52,52,0,0,0,0,0,50,45,37,0,0,52,0,0,0,41.89557,-86.001629
Michigan,Genesee,2021,89,76,13,0,0,0,0,68,55,30,0,0,0,0,89,0,43.168336,-83.461541
Michigan,Kent,2021,91,91,0,0,0,0,0,14,9,5,91,0,0,0,0,0,43.176672,-85.416608
